,DISTRICT,Population,DISTRICT_CODE,DISTRICT_NAME,T_TL,T_60PLUS,percent60PLUS,Sites,Province,P_Density,Capacity per day,Open Days per week
0,EKU,3609251,EKU,Ekurhuleni,3739653.0,282045.0,0.0754200991375403,28.0,GT,1887.7170217960138,6320.0,5.0
1,JHB,5316210,JHB,City of Johannesburg,5540727.0,422893.0,0.07632446067095527,44.0,GT,3365.777971104304,13080.0,5.045454545454546
2,BUF,866515,BUF,Buffalo City,760840.0,78267.0,0.10286919720309132,6.0,EC,276.0054657078038,240.0,5.0
3,DC10,532050,DC10,Sarah Baartman,491156.0,58458.0,0.11902124783164615,30.0,EC,8.43079887119768,2320.0,5.0
4,DC12,1002243,DC12,Amathole,789726.0,113226.0,0.1433737777406341,56.0,EC,37.3472422935793,2240.0,5.0
5,DC13,822086,DC13,Chris Hani,752217.0,99849.0,0.1327396216783189,11.0,EC,20.647292814951065,880.0,5.0
6,DC14,377137,DC14,Joe Gqabi,339473.0,42280.0,0.12454598745702898,21.0,EC,13.236614304035708,1680.0,5.0
7,DC15,1511736,DC15,O.R.Tambo,1358678.0,124242.0,0.09144330003135401,61.0,EC,111.49352164810674,2440.0,5.0
8,DC44,879284,DC44,Alfred Nzo,788235.0,79055.0,0.10029369413943812,43.0,EC,73.16272442179428,1800.0,5.0
9,NMA,1320574,NMA,Nelson Mandela Bay,1230491.0,132418.0,0.10761395247913232,1.0,EC,628.7428716445769,80.0,5.0
10,DC16,155470,DC16,Xhariep,105759.0,11572.0,0.1094185837611929,,FS,3.08714024527704,,
11,DC18,677694,DC18,Lejweleputswa,574193.0,52187.0,0.09088755871283698,7.0,FS,17.776730608331473,1514.0,4.428571428571429
12,DC19,796992,DC19,Thabo Mofutsanyane,662829.0,63876.0,0.09636874669032285,6.0,FS,20.19479064975025,336.0,2.8
13,DC20,507519,DC20,Fezile Dabi,494300.0,51897.0,0.10499089621687234,2.0,FS,23.865511895385314,650.0,5.0
14,MAN,787009,MAN,Mangaung,826621.0,77795.0,0.09411205377071233,6.0,FS,83.5661695917446,2450.0,5.0
15,DC42,995665,DC42,Sedibeng,994997.0,96052.0,0.09653496442702843,14.0,GT,237.8555423979016,1960.0,5.0
16,DC48,890240,DC48,West Rand,856804.0,65369.0,0.07629399489264756,33.0,GT,209.1780739150319,3240.0,5.0
17,TSH,3549978,TSH,City of Tshwane,3627986.0,316437.0,0.08722111937587411,29.0,GT,574.3604706538023,4760.0,5.0
18,DC21,796445,DC21,Ugu,714019.0,80838.0,0.11321547465823739,5.0,KZN,148.12729152464956,700.0,4.2
19,DC22,1184321,DC22,Umgungundlovu,1046905.0,100085.0,0.09560084248331988,5.0,KZN,108.3429555665955,1900.0,6.2
20,DC23,767597,DC23,Uthukela,652282.0,55401.0,0.08493412358458458,5.0,KZN,58.28452535438653,1050.0,7.0
21,DC24,575532,DC24,Umzinyathi,514461.0,46010.0,0.08943340700266882,5.0,KZN,59.02639438181097,2100.0,6.2
22,DC25,587035,DC25,Amajuba,502731.0,43259.0,0.08604800579236212,8.0,KZN,70.3365334307925,2650.0,4.75
23,DC26,894126,DC26,Zululand,783796.0,62138.0,0.07927828159367999,4.0,KZN,52.4601151436812,700.0,2.75
24,DC27,704651,DC27,Umkhanyakude,643318.0,46903.0,0.07290795531914232,6.0,KZN,45.83369153026443,1700.0,5.166666666666667
25,DC28,1008374,DC28,Uthungulu,889476.0,69361.0,0.07797961946134578,15.0,KZN,107.21448831688052,1400.0,6.6
26,DC29,715943,DC29,iLembe,636799.0,55409.0,0.0870117572420811,8.0,KZN,193.07596419675042,1200.0,5.125
27,DC43,520164,DC43,Harry Gwala,447117.0,38478.0,0.08605801166137722,6.0,KZN,42.831415638652565,1950.0,5.666666666666667
28,ETH,3811781,ETH,eThekwini,3587907.0,321464.0,0.08959652521651203,23.0,KZN,1392.779591011225,9050.0,5.260869565217392
29,DC33,1238400,DC33,Mopani,1062666.0,97171.0,0.0914407725475361,16.0,LIM,52.63903994074721,4400.0,4.875
30,DC34,1477701,DC34,Vhembe,1325089.0,123177.0,0.09295752964517855,14.0,LIM,51.40007418305709,3800.0,5.142857142857143
31,DC35,1350111,DC35,Capricorn,1295656.0,133811.0,0.10327664133072359,18.0,LIM,59.42081093782431,6150.0,4.888888888888889
32,DC36,725475,DC36,Waterberg,718513.0,67674.0,0.09418618730628395,9.0,LIM,15.959832751242985,0.0,4.0
33,DC47,1252726,DC47,Sekhukhune,1125333.0,118035.0,0.1048889528699505,14.0,LIM,82.69302836787273,3600.0,5.0
34,DC30,1215274,DC30,Gert Sibande,1136106.0,91019.0,0.08011488364642032,10.0,MP,35.465123519711334,1440.0,5.0
35,DC31,1562174,DC31,Nkangala,1573837.0,137616.0,0.0874398047574177,106.0,MP,93.45120412411929,11080.0,3.742857142857143
36,DC32,1743182,DC32,Ehlanzeni,1837538.0,139658.0,0.07600278198328415,8.0,MP,65.22270524455163,1120.0,5.0
37,DC45,246471,DC45,John Taolo Gaetsewe,258224.0,20891.0,0.08090262717640498,,NC,9.441582831380847,,
38,DC6,113428,DC6,Namakwa,117087.0,16041.0,0.13700069179328192,,NC,0.9161752956309405,,
39,DC7,211972,DC7,Pixley ka Seme,196331.0,21328.0,0.1086328700001528,,NC,1.9002767855338298,,
40,DC8,266692,DC8,Z F Mgcawu,258998.0,23754.0,0.09171499393817713,,NC,2.5173162740532447,,
41,DC9,381624,DC9,Frances Baard,420580.0,41235.0,0.09804317846783014,29.0,NC,32.34453673554602,4300.0,5.0
42,DC37,1753849,DC37,Bojanala,1786678.0,157948.0,0.08840317057690306,10.0,NW,97.32893696802158,4360.0,6.0
43,DC38,968779,DC38,Ngaka Modiri Molema,870971.0,87262.0,0.10018932892139921,10.0,NW,30.961491966120754,1880.0,6.0
44,DC39,480942,DC39,Dr Ruth Segomotsi Mompati,473784.0,50830.0,0.10728517636728974,8.0,NW,10.825808018221116,1640.0,6.0
45,DC40,772321,DC40,Dr Kenneth Kaunda,754431.0,73886.0,0.0979360604216953,12.0,NW,51.39011502564132,2400.0,6.0
46,CPT,4194179,CPT,City of Cape Town,4436413.0,437478.0,0.09861074701566333,78.0,WC,1802.1069637716078,18880.0,4.9743589743589745
47,DC1,470157,DC1,West Coast,497485.0,53443.0,0.10742635456345417,52.0,WC,15.843803925113763,1533.0,3.4423076923076925
48,DC2,933478,DC2,Cape Winelands,909523.0,85014.0,0.09347097324641598,49.0,WC,42.09291379668466,4770.0,3.877551020408163
49,DC3,299197,DC3,Overberg,303457.0,43932.0,0.14477174690318562,36.0,WC,24.65803013186729,3056.0,1.8888888888888888
50,DC4,636303,DC4,Eden,673839.0,89469.0,0.1327750397350109,43.0,WC,28.823267557961167,5415.0,3.441860465116279
51,DC5,77603,DC5,Central Karoo,77582.0,8586.0,0.11067000077337527,16.0,WC,1.9930522012568144,700.0,3.75
